content,url
Fox News, foxnews.com
Al Jazeera America, america.aljazeera.com
CNN, cnn.com
New York Times, nytimes.com
BuzzFeed, buzzfeed.com
ABC, abcnews.go.com
Huffington Post, huffingtonpost.com
Slate, slate.com
MSNBC, msnbc.com
The Washington Post, washingtonpost.com
The Guardian, theguardian.com
Boston Globe, bostonglobe.com
USA Today, usatoday.com
Time, time.com
NBC News Digital, nbcnews.com
Business Insider, businessinsider.com
CBS News, cbsnews.com
BBC, bbc.com 
CNET, cnet.com
NPR, nprnews.org
EliteDaily, elitedaily.com 
New York Post, nypost.com 
Mashable, mashable.com 
Telegraph News, telegraph.co.uk 
SFGate, sfgate.com 
Upworthy, upworthy.com 
TheBlaze, theblaze.com 
U.S. News, usnews.com 
VICE News, vice.com 
The Daily Beast, thedailybeast.comf
Chicago Tribune, chicagotribune.com 
Gawker, gawker.com 
Examiner, examiner.com 
Chron News, chron.com 
Vox, vox.com 
Salon.com, salon.com 
Mic, mic.com 
LA Times, latimes.com 
NJ.com, nj.com
The Independent, independent.co.uk
The Atlantic, theatlantic.com 
TechCrunch, techcrunch.com 
Boston News, boston.com 
Alabama News, al.com
Engadget, engadget.com 
Mirror Online, mirror.co.uk
Detroit Free Press, freep.com 
Michigan Local News, mlive.com 
Dallas Morning News, dallasnews.com
